Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,-0.047363281,0.980957031,-0.030761719,2.075195313,-1.037597656,-0.427246094,1.86E+08
192.168.43.159,-0.035644531,0.985351563,-0.043945313,2.319335938,-1.647949219,-0.366210938,1.86E+08
192.168.43.159,-0.025390625,0.98828125,-0.033691406,1.953125,-0.915527344,-0.48828125,1.86E+08
192.168.43.159,-0.041015625,0.983398438,-0.036132813,1.708984375,-0.122070313,-0.48828125,1.86E+08
192.168.43.159,-0.053222656,0.985351563,-0.040527344,1.770019531,-0.244140625,-0.244140625,1.86E+08
192.168.43.159,-0.041015625,0.985351563,-0.041015625,1.525878906,-1.708984375,-0.244140625,1.86E+08
192.168.43.159,-0.038085938,0.984863281,-0.038085938,0.9765625,-1.708984375,-0.061035156,1.86E+08
192.168.43.159,-0.04296875,0.984863281,-0.043945313,0.671386719,-0.610351563,0.244140625,1.86E+08
192.168.43.159,-0.043457031,0.985839844,-0.042480469,0.244140625,-0.610351563,0.427246094,1.86E+08
192.168.43.159,-0.037597656,0.984863281,-0.028320313,-0.061035156,-1.037597656,0.48828125,1.86E+08
192.168.43.159,-0.044921875,0.979980469,-0.034667969,0,-1.281738281,0.732421875,1.86E+08
192.168.43.159,-0.038574219,0.981933594,-0.040039063,0,-1.098632813,0.793457031,1.86E+08
192.168.43.159,-0.028320313,0.982421875,-0.033203125,-0.122070313,-0.549316406,0.610351563,1.86E+08
192.168.43.159,-0.028808594,0.985351563,-0.029296875,0,-0.427246094,0.48828125,1.86E+08
192.168.43.159,-0.037597656,0.986328125,-0.037597656,0.061035156,-0.549316406,0.549316406,1.86E+08
192.168.43.159,-0.040039063,0.983398438,-0.041015625,-0.122070313,-0.549316406,0.549316406,1.86E+08
192.168.43.159,-0.032714844,0.984375,-0.032226563,-0.244140625,-0.793457031,0.610351563,1.86E+08
192.168.43.159,-0.028320313,0.982421875,-0.027832031,-0.122070313,-0.427246094,0.549316406,1.86E+08
192.168.43.159,-0.034179688,0.985351563,-0.029785156,0.244140625,-0.305175781,0.427246094,1.86E+08
192.168.43.159,-0.042480469,0.983886719,-0.041015625,0.366210938,-0.48828125,0.427246094,1.86E+08
192.168.43.159,-0.041503906,0.985839844,-0.042480469,-0.061035156,0.122070313,0.48828125,1.86E+08
192.168.43.159,-0.029785156,0.985839844,-0.033203125,-0.366210938,1.037597656,0.48828125,1.86E+08
192.168.43.159,-0.027832031,0.985351563,-0.030761719,-0.427246094,0.671386719,0.549316406,1.86E+08
192.168.43.159,-0.037597656,0.983398438,-0.0390625,-0.427246094,0.915527344,0.610351563,1.86E+08
192.168.43.159,-0.044921875,0.983398438,-0.035644531,-0.854492188,2.014160156,1.098632813,1.86E+08
192.168.43.159,-0.035644531,0.984863281,-0.030273438,-0.854492188,2.502441406,1.342773438,1.86E+08
192.168.43.159,-0.030761719,0.984863281,-0.032226563,-1.037597656,2.136230469,1.525878906,1.86E+08
192.168.43.159,-0.022460938,0.982910156,-0.027832031,-1.281738281,3.051757813,1.220703125,1.86E+08
192.168.43.159,-0.025878906,0.985839844,-0.027832031,-1.037597656,3.784179688,1.342773438,1.86E+08
192.168.43.159,-0.033203125,0.984863281,-0.03125,-1.098632813,2.44140625,1.037597656,1.86E+08
192.168.43.159,-0.029785156,0.985839844,-0.032714844,-1.403808594,1.098632813,1.159667969,1.86E+08
192.168.43.159,-0.024414063,0.985351563,-0.032714844,-1.708984375,0.183105469,1.281738281,1.86E+08
192.168.43.159,-0.027832031,0.983886719,-0.026367188,-1.708984375,0.549316406,1.098632813,1.86E+08
192.168.43.159,-0.028808594,0.984375,-0.020507813,-1.525878906,0.915527344,0.854492188,1.86E+08
192.168.43.159,-0.025390625,0.983398438,-0.022460938,-1.220703125,0.366210938,0.549316406,1.86E+08
192.168.43.159,-0.024902344,0.981445313,-0.018554688,-0.671386719,0.244140625,0.366210938,1.86E+08
192.168.43.159,-0.031738281,0.983886719,-0.024902344,-0.48828125,0.305175781,0.427246094,1.86E+08
192.168.43.159,-0.027832031,0.986816406,-0.021972656,-0.610351563,-0.427246094,0.48828125,1.86E+08
